1 qid:1403 1:0.024922 2:0.000000 3:0.000000 4:0.000000 5:0.021739 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.019428 12:0.000000 13:0.000000 14:0.000000 15:0.019457 16:0.016133 17:0.250000 18:0.240000 19:0.571429 20:0.016456 21:0.722380 22:0.758576 23:0.837199 24:0.716530 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.714381 38:0.752038 39:0.830668 40:0.706768 41:0.024822 42:0.005597 43:0.025424 44:0.600000 45:0.521739 46:0.000000 #docid = GX103-81-0750497 inc = 0.907600288548556 prob = 0.572989
0 qid:4847 1:0.011140 2:0.250000 3:0.500000 4:0.500000 5:0.011192 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.008993 12:0.250000 13:0.500000 14:0.549143 15:0.009093 16:0.005031 17:0.100000 18:0.230769 19:0.166667 20:0.004218 21:0.854754 22:0.778521 23:0.564408 24:0.844946 25:1.000000 26:1.000000 27:0.592396 28:1.000000 29:0.862088 30:0.990923 31:0.798939 32:0.951953 33:0.834219 34:0.876978 35:0.836007 36:0.941933 37:0.886472 38:0.810770 39:0.628074 40:0.876703 41:0.002187 42:0.000527 43:0.207547 44:0.400000 45:0.437500 46:0.000000 #docid = GX001-80-7530877 inc = 1 prob = 0.192952
0 qid:4847 1:0.011140 2:0.250000 3:0.500000 4:0.500000 5:0.011192 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.008993 12:0.250000 13:0.500000 14:0.549143 15:0.009093 16:0.005031 17:0.100000 18:0.230769 19:0.166667 20:0.004218 21:0.854754 22:0.778521 23:0.564408 24:0.844946 25:1.000000 26:1.000000 27:0.592396 28:1.000000 29:0.862088 30:0.990923 31:0.798939 32:0.951953 33:0.834219 34:0.876978 35:0.836007 36:0.941933 37:0.886472 38:0.810770 39:0.628074 40:0.876703 41:0.002187 42:0.000527 43:0.207547 44:0.400000 45:0.437500 46:0.000000 #docid = GX001-80-7530877 inc = 1 prob = 0.192952
0 qid:4847 1:0.011140 2:0.250000 3:0.500000 4:0.500000 5:0.011192 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.008993 12:0.250000 13:0.500000 14:0.549143 15:0.009093 16:0.005031 17:0.100000 18:0.230769 19:0.166667 20:0.004218 21:0.854754 22:0.778521 23:0.564408 24:0.844946 25:1.000000 26:1.000000 27:0.592396 28:1.000000 29:0.862088 30:0.990923 31:0.798939 32:0.951953 33:0.834219 34:0.876978 35:0.836007 36:0.941933 37:0.886472 38:0.810770 39:0.628074 40:0.876703 41:0.002187 42:0.000527 43:0.207547 44:0.400000 45:0.437500 46:0.000000 #docid = GX001-80-7530877 inc = 1 prob = 0.192952
0 qid:7224 1:0.015703 2:0.103448 3:1.000000 4:0.500000 5:0.019971 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.011025 12:0.081869 13:0.843315 14:0.419981 15:0.014458 16:0.005941 17:0.007246 18:0.388889 19:0.400000 20:0.005838 21:0.818361 22:0.804302 23:0.573638 24:0.714167 25:0.384756 26:0.579025 27:0.532891 28:0.722320 29:0.615626 30:0.705982 31:0.643892 32:0.779957 33:0.419981 34:0.020873 35:0.002895 36:0.041311 37:0.851014 38:0.848811 39:0.622844 40:0.763026 41:0.002702 42:0.005935 43:0.117021 44:0.285714 45:0.442857 46:0.000000 #docid = GX230-36-8667566 inc = 1 prob = 0.121032
0 qid:7224 1:0.015703 2:0.103448 3:1.000000 4:0.500000 5:0.019971 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.011025 12:0.081869 13:0.843315 14:0.419981 15:0.014458 16:0.005941 17:0.007246 18:0.388889 19:0.400000 20:0.005838 21:0.818361 22:0.804302 23:0.573638 24:0.714167 25:0.384756 26:0.579025 27:0.532891 28:0.722320 29:0.615626 30:0.705982 31:0.643892 32:0.779957 33:0.419981 34:0.020873 35:0.002895 36:0.041311 37:0.851014 38:0.848811 39:0.622844 40:0.763026 41:0.002702 42:0.005935 43:0.117021 44:0.285714 45:0.442857 46:0.000000 #docid = GX230-36-8667566 inc = 1 prob = 0.121032
0 qid:7224 1:0.015703 2:0.103448 3:1.000000 4:0.500000 5:0.019971 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.011025 12:0.081869 13:0.843315 14:0.419981 15:0.014458 16:0.005941 17:0.007246 18:0.388889 19:0.400000 20:0.005838 21:0.818361 22:0.804302 23:0.573638 24:0.714167 25:0.384756 26:0.579025 27:0.532891 28:0.722320 29:0.615626 30:0.705982 31:0.643892 32:0.779957 33:0.419981 34:0.020873 35:0.002895 36:0.041311 37:0.851014 38:0.848811 39:0.622844 40:0.763026 41:0.002702 42:0.005935 43:0.117021 44:0.285714 45:0.442857 46:0.000000 #docid = GX230-36-8667566 inc = 1 prob = 0.121032
1 qid:9661 1:0.236198 2:0.000000 3:0.000000 4:0.000000 5:0.233894 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.366592 12:0.000000 13:0.000000 14:0.000000 15:0.366807 16:0.257528 17:0.291667 18:0.000000 19:0.500000 20:0.257100 21:0.567219 22:0.506672 23:0.640284 24:0.435301 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.583189 38:0.506009 39:0.634993 40:0.429726 41:0.047305 42:0.083333 43:0.000000 44:0.250000 45:0.192308 46:0.000000 #docid = GX271-63-7606767 inc = 0.545246974327822 prob = 0.552662
1 qid:9661 1:0.236198 2:0.000000 3:0.000000 4:0.000000 5:0.233894 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.366592 12:0.000000 13:0.000000 14:0.000000 15:0.366807 16:0.257528 17:0.291667 18:0.000000 19:0.500000 20:0.257100 21:0.567219 22:0.506672 23:0.640284 24:0.435301 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.583189 38:0.506009 39:0.634993 40:0.429726 41:0.047305 42:0.083333 43:0.000000 44:0.250000 45:0.192308 46:0.000000 #docid = GX271-63-7606767 inc = 0.545246974327822 prob = 0.552662
1 qid:9661 1:0.236198 2:0.000000 3:0.000000 4:0.000000 5:0.233894 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.366592 12:0.000000 13:0.000000 14:0.000000 15:0.366807 16:0.257528 17:0.291667 18:0.000000 19:0.500000 20:0.257100 21:0.567219 22:0.506672 23:0.640284 24:0.435301 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.583189 38:0.506009 39:0.634993 40:0.429726 41:0.047305 42:0.083333 43:0.000000 44:0.250000 45:0.192308 46:0.000000 #docid = GX271-63-7606767 inc = 0.545246974327822 prob = 0.552662
0 qid:5629 1:0.270270 2:0.333333 3:0.500000 4:1.000000 5:0.336207 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.351710 12:0.454429 13:0.603334 14:1.000000 15:0.477744 16:0.116798 17:0.100000 18:0.500000 19:0.181818 20:0.123859 21:0.523905 22:0.450443 23:0.475529 24:0.461286 25:0.903715 26:0.854784 27:0.736570 28:0.813720 29:0.670743 30:0.676375 31:0.860222 32:0.620307 33:0.919950 34:0.872730 35:0.998789 36:0.956564 37:0.522868 38:0.583324 39:0.542314 40:0.548292 41:0.001335 42:0.002119 43:0.000000 44:0.400000 45:0.175824 46:0.000000 #docid = GX232-60-3254932 inc = 0.631025409249305 prob = 0.113906
