2 qid:3558 1:0.127711 2:0.000000 3:0.000000 4:0.000000 5:0.127711 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.160891 12:0.000000 13:0.000000 14:0.000000 15:0.162262 16:0.081650 17:0.160000 18:0.000000 19:0.150000 20:0.081571 21:0.764646 22:0.756480 23:0.714551 24:0.693527 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.768379 38:0.756598 39:0.714088 40:0.703569 41:0.192583 42:0.555556 43:0.000000 44:1.000000 45:0.128205 46:0.000000 #docid = GX238-78-5423799 inc = 0.862260944585557 prob = 0.732086
1 qid:5880 1:0.003178 2:0.000000 3:0.333333 4:0.333333 5:0.003185 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.505789 12:0.000000 13:0.261921 14:0.251811 15:0.524844 16:0.001375 17:0.000000 18:1.000000 19:0.750000 20:0.001801 21:0.615746 22:0.628889 23:0.297205 24:0.599442 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.118699 30:0.058591 31:0.054824 32:0.069252 33:0.283532 34:0.000000 35:0.000000 36:0.000000 37:0.598347 38:0.578205 39:0.332201 40:0.566574 41:0.000000 42:0.000000 43:0.015873 44:0.500000 45:0.528302 46:0.000000 #docid = GX026-97-4554522 inc = 1 prob = 0.135052
1 qid:5880 1:0.003178 2:0.000000 3:0.333333 4:0.333333 5:0.003185 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.505789 12:0.000000 13:0.261921 14:0.251811 15:0.524844 16:0.001375 17:0.000000 18:1.000000 19:0.750000 20:0.001801 21:0.615746 22:0.628889 23:0.297205 24:0.599442 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.118699 30:0.058591 31:0.054824 32:0.069252 33:0.283532 34:0.000000 35:0.000000 36:0.000000 37:0.598347 38:0.578205 39:0.332201 40:0.566574 41:0.000000 42:0.000000 43:0.015873 44:0.500000 45:0.528302 46:0.000000 #docid = GX026-97-4554522 inc = 1 prob = 0.135052
1 qid:5880 1:0.003178 2:0.000000 3:0.333333 4:0.333333 5:0.003185 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.505789 12:0.000000 13:0.261921 14:0.251811 15:0.524844 16:0.001375 17:0.000000 18:1.000000 19:0.750000 20:0.001801 21:0.615746 22:0.628889 23:0.297205 24:0.599442 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.118699 30:0.058591 31:0.054824 32:0.069252 33:0.283532 34:0.000000 35:0.000000 36:0.000000 37:0.598347 38:0.578205 39:0.332201 40:0.566574 41:0.000000 42:0.000000 43:0.015873 44:0.500000 45:0.528302 46:0.000000 #docid = GX026-97-4554522 inc = 1 prob = 0.135052
1 qid:7092 1:0.130699 2:0.000000 3:0.666667 4:0.000000 5:0.136778 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.145521 12:0.000000 13:0.628424 14:0.000000 15:0.153129 16:0.082386 17:0.304000 18:0.692308 19:0.500000 20:0.086673 21:0.860242 22:0.742699 23:0.765709 24:0.748727 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.281913 30:0.064482 31:0.103953 32:0.026790 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.857287 38:0.711809 39:0.749316 40:0.727432 41:0.021703 42:0.004561 43:0.007308 44:0.571429 45:0.434783 46:0.000000 #docid = GX014-64-16710650 inc = 1 prob = 0.803154
1 qid:7092 1:0.130699 2:0.000000 3:0.666667 4:0.000000 5:0.136778 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.145521 12:0.000000 13:0.628424 14:0.000000 15:0.153129 16:0.082386 17:0.304000 18:0.692308 19:0.500000 20:0.086673 21:0.860242 22:0.742699 23:0.765709 24:0.748727 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.281913 30:0.064482 31:0.103953 32:0.026790 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.857287 38:0.711809 39:0.749316 40:0.727432 41:0.021703 42:0.004561 43:0.007308 44:0.571429 45:0.434783 46:0.000000 #docid = GX014-64-16710650 inc = 1 prob = 0.803154
1 qid:7092 1:0.130699 2:0.000000 3:0.666667 4:0.000000 5:0.136778 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.145521 12:0.000000 13:0.628424 14:0.000000 15:0.153129 16:0.082386 17:0.304000 18:0.692308 19:0.500000 20:0.086673 21:0.860242 22:0.742699 23:0.765709 24:0.748727 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.281913 30:0.064482 31:0.103953 32:0.026790 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.857287 38:0.711809 39:0.749316 40:0.727432 41:0.021703 42:0.004561 43:0.007308 44:0.571429 45:0.434783 46:0.000000 #docid = GX014-64-16710650 inc = 1 prob = 0.803154
0 qid:153 1:0.176087 2:0.100000 3:0.500000 4:0.500000 5:0.174863 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.146658 12:0.092506 13:0.451247 14:0.476230 15:0.144311 16:0.133460 17:0.153846 18:0.375000 19:0.500000 20:0.133699 21:0.343571 22:0.718730 23:0.868463 24:0.695838 25:0.247110 26:0.174182 27:0.005173 28:0.103141 29:0.272737 30:0.068046 31:0.002674 32:0.054708 33:0.457169 34:0.000000 35:0.000000 36:0.000000 37:0.349139 38:0.726521 39:0.870966 40:0.703601 41:0.000072 42:0.001431 43:0.000755 44:0.333333 45:0.266667 46:0.000000 #docid = GX239-23-6255769 inc = 0.22013783472856 prob = 0.149827
0 qid:153 1:0.176087 2:0.100000 3:0.500000 4:0.500000 5:0.174863 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.146658 12:0.092506 13:0.451247 14:0.476230 15:0.144311 16:0.133460 17:0.153846 18:0.375000 19:0.500000 20:0.133699 21:0.343571 22:0.718730 23:0.868463 24:0.695838 25:0.247110 26:0.174182 27:0.005173 28:0.103141 29:0.272737 30:0.068046 31:0.002674 32:0.054708 33:0.457169 34:0.000000 35:0.000000 36:0.000000 37:0.349139 38:0.726521 39:0.870966 40:0.703601 41:0.000072 42:0.001431 43:0.000755 44:0.333333 45:0.266667 46:0.000000 #docid = GX239-23-6255769 inc = 0.22013783472856 prob = 0.149827
0 qid:153 1:0.176087 2:0.100000 3:0.500000 4:0.500000 5:0.174863 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.146658 12:0.092506 13:0.451247 14:0.476230 15:0.144311 16:0.133460 17:0.153846 18:0.375000 19:0.500000 20:0.133699 21:0.343571 22:0.718730 23:0.868463 24:0.695838 25:0.247110 26:0.174182 27:0.005173 28:0.103141 29:0.272737 30:0.068046 31:0.002674 32:0.054708 33:0.457169 34:0.000000 35:0.000000 36:0.000000 37:0.349139 38:0.726521 39:0.870966 40:0.703601 41:0.000072 42:0.001431 43:0.000755 44:0.333333 45:0.266667 46:0.000000 #docid = GX239-23-6255769 inc = 0.22013783472856 prob = 0.149827
0 qid:6547 1:0.003236 2:0.500000 3:1.000000 4:1.000000 5:0.006472 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.003236 12:0.500000 13:1.000000 14:1.000000 15:0.006472 16:0.001196 17:0.001214 18:0.050000 19:0.100000 20:0.001123 21:0.810192 22:0.671495 23:0.275416 24:0.629006 25:1.000000 26:1.000000 27:0.329061 28:1.000000 29:1.000000 30:1.000000 31:1.000000 32:1.000000 33:1.000000 34:1.000000 35:1.000000 36:1.000000 37:0.922878 38:0.856740 39:0.498243 40:0.822705 41:0.000217 42:0.004975 43:0.000000 44:0.166667 45:0.078947 46:0.000000 #docid = GX035-32-16592107 inc = 1 prob = 0.15061
